RSSD9001,RSSD9017,RSSD9999,RCFD2170
84046,FIRST TRUST & SAVINGS BANK,03/31/2022,0.0
84541,GUARANTY BANK AND TRUST COMPANY,03/31/2022,0.0
84804,CITIZENS BANK OF CAPE VINCENT,03/31/2022,0.0
85052,UINTA BANK,03/31/2022,0.0
85472,"OCEANFIRST BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
85931,PATTERSON STATE BANK,03/31/2022,0.0
86349,"UNION BANK OF MENA, THE",03/31/2022,0.0
86675,ROSEDALE FEDERAL SAVINGS AND LOAN ASSOCIATION,03/31/2022,0.0
87047,FIRST STATE BANK OF PORTER,03/31/2022,0.0
87159,FIRST STATE BANK OF NEWCASTLE,03/31/2022,0.0
87234,FIRST NATIONAL BANK OF MIDDLE TENNESSEE,03/31/2022,0.0
87476,"WILMINGTON SAVINGS BANK, THE",03/31/2022,0.0
87579,"MIDDLESEX FEDERAL SAVINGS, F.A.",03/31/2022,0.0
88231,BANKSOUTH,03/31/2022,0.0
88259,JANESVILLE STATE BANK,03/31/2022,0.0
88352,FIRST STATE BANK OF BEDIAS,03/31/2022,0.0
88455,HEARTLAND BANK,03/31/2022,0.0
88950,FINANCIAL SECURITY BANK,03/31/2022,0.0
89032,PLAQUEMINE BANK AND TRUST COMPANY,03/31/2022,0.0
89135,FIRST NATIONAL BANK OF WAUCHULA,03/31/2022,0.0
89854,MINNSTAR BANK NATIONAL ASSOCIATION,03/31/2022,0.0
89957,"CENDERA BANK, N.A.",03/31/2022,0.0
90047,PALO SAVINGS BANK,03/31/2022,0.0
90177,FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF PASCAGOULA-MOSS POINT,03/31/2022,0.0
90328,SKYLINE NATIONAL BANK,03/31/2022,0.0
90337,UNITED COMMUNITY BANK,03/31/2022,0.0
90579,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF MCMINNVILLE,03/31/2022,0.0
91615,"ANTWERP EXCHANGE BANK COMPANY, THE",03/31/2022,0.0
91754,"FIRST NATIONAL BANK OF BELLVILLE, THE",03/31/2022,0.0
91950,FARMERS STATE BANK OF CANTON,03/31/2022,0.0
92144,COMMUNITY STATE BANK,03/31/2022,0.0
92676,WINDSOR FEDERAL SAVINGS AND LOAN ASSOCIATION,03/31/2022,0.0
92706,SUGAR RIVER BANK,03/31/2022,0.0
92902,BANK OF CATTARAUGUS,03/31/2022,0.0
93244,WOODFORD STATE BANK,03/31/2022,0.0
93543,SPRINGS VALLEY BANK & TRUST COMPANY,03/31/2022,0.0
